THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 0
.  0 1 0 1 10.00000
.  1 1 1 1 10.00000
.  1 3 1 3 14.14213
.  2 1 2 1 10.00000
.  2 3 2 3 14.14213
.  2 5 2 5 17.32050
.  3 1 3 1 10.00000
.  3 3 3 3 14.14213
.  3 5 3 5 17.32050
.  3 7 3 7 20.00000
.  4 1 4 1 3.982880611
.  4 3 4 3 5.263343511
.  4 5 4 5 9.026879841
.  4 7 4 7 13.17119275
.  4 9 4 9 22.36068
.  5 11 5 11 10.85404174
THE ONE-BODY DENSITY MATRIX FOR 2JO = 0 TO =, 2
.  4 1 4 1 2.167952882
.  4 3 4 3 2.772802409
.  4 5 4 5 4.306140258
.  4 7 4 7 3.682169421
.  5 11 5 11 6.180411064
